English,Transliteration,Hebrew
creatures / people,briyot,בריות
after her,akhareha,אחריה
charity / kindness / mercy,khesed,חסד
cast / threw / projected / laid eggs (f.s.),hetila,הטילה
without,livli,לבלי
spiders,akhvishim,עכבישים
high / tall,ram,רם
backward / to the back,le'akhor,לאחור
that one (m.),hahu,ההוא
impression,roshem,רושם
writes / takes notes (m.s.),roshem,רושם
knows / recognizes (f.s.),mekira,מכירה
from far,merakhok,מרחוק
what from / from what,mima,ממה
dry,yavesh,יבש
suddenly,lefeta,לפתע
cold,kar,קר
drew / illustrated (m.s.),iyer,אייר
in his possession / at his place / near him,etslo,אצלו
the rooms,hakhadarim,החדרים
thin (m.s.),dak,דק
come (m.s. imperative),bo,בוא
soon,bekarov,בקרוב
young (f.s.),tse'ira,צעירה
anyway / in any case,mimeyla,ממילא
full / complete (m.pl.),mele'im,מלאים
believe / believers (m.pl.),ma'aminim,מאמינים
to/for his life,lekhayav,לחייו
to express,lehabi'a,להביע
and to all,ulkhol,ולכל
the answer / the reply / the return / the repentance,hatshuva,התשובה
the prehistoric / the ancient / the primitive (m.pl.),hakadmonim,הקדמונים
the storm,hase'ara,הסערה
door,delet,דלת
and a sight / and a view / and an appearance / and shows (m.s.),umar'e,ומראה
ans shows (f.s.) / and a mirror,umar'a,ומראה
returned / repeated (pl.),khazru,חזרו
prisoners,asirim,אסירים
he white (m.pl.),halevanim,הלבנים
the bricks,halvenim,הלבנים
bad (m.s.),garu'a,גרוע
in short,bekitsur,בקיצור
in a soil / in a ground / in a land,bekarka,בקרקע
in the soil / in the ground / in the land,kakarka,בקרקע
seniors,bkhirim,בכירים
of my sons,bevanai,בבני
in my son,bivni,בבני
their hand,yadam,ידם
that he will be able,sheyukhal,שיוכל
equal /returning (f.pl.),shavot,שוות
simple (f.s.),pshuta,פשוטה
say (m.pl.),omrim,אומרים
exposure of,khasifat,חשיפת
the creature,hayetsur,היצור
the skin,ha'or,העור
the new (f.pl.) / the news,hakhadashot,החדשות
the arrival of,haga'at,הגעת
you arrived (m.s.),higata,הגעת
you arrived (f.s.),higaat,הגעת
proposal / suggestion / offer,hatsa'a,הצעה
the females,hanekevot,הנקבות
the tunnels,hanikbot,הנקבות
in the rest,bash'ar,בשאר
in the rest of,bish'ar,בשאר
risk,sikun,סיכון
tried (f.s.),nista,ניסתה
millions of,milyonei,מיליוני
suitable / appropriate / applicable / identical (m.pl.),mat'imim,מתאימים
accidental / random / by chance,mikri,מקרי
evacuates,mefane,מפנה
turn / change,mifne,מפנה
views / show (f.pl.) / mirrors,mar'ot,מראות
frame / framework,misgeret,מסגרת
news / knowledge,yedi'ot,ידיעות
elementary / fundamental / thorough,yesodi,יסודי
to/for the [name] family / to/for the family of,lemishpakhat,למשפחת
to him / into his hands,leyadav,לידיו
to/for residents,letoshavim,לתושבים
to/for the residents,latoshavim,לתושבים
to develop,lehitpate'akh,להתפתח
to effect / to influence,lehashpi'a,להשפיע
to visit / to criticize,levaker,לבקר
to a subject/ to the subject of,lenose,לנושא
to the subject,lanose,לנושא
in light of,lenokhakh,לנוכח
donates / contributes / donor (m.s.),torem,תורם
payment,tashlum,תשלום
prayer,tfila,תפילה
and almost,vekhim'at,וכמעט
and brought (m.s.),vehevi,והביא
ruled / controlled (pl.),shaltu,שלטו
judge,shofet,שופט
his action / his operation,pe'ulato,פעולתו
pages / pillars,amudim,עמודים
independent (m.pl.),atsma'iyim,עצמאיים
violence,alimut,אלימות
free (f.s.),khofshit,חופשית
lion,arye,אריה
that enables / that facilitates (m.s.),hame'afsher,המאפשר
the fortress / the castle,hametsuda,המצודה
the moon,hayare'akh,הירח
the cannons,hatotakhim,התותחים
his appearance,hofa'ato,הופעתו
informed (pl.),hodi'u,הודיעו
the control,hashlita,השליטה
the ice,hakerakh,הקרח
the treasure,ha'otsar,האוצר
the strong (f.s.),hakhazaka,החזקה
holding / keeping / maintenance,hakhzaka,החזקה
the red (m.pl.),ha'adumim,האדומים
the religious (f.s.),hadatit,הדתית
the many (f.pl.),harabot,הרבות
placed / posted (m.s.),hetsiv,הציב
the famous / the known,hanoda,הנודע
the points / the dots,hanekudot,הנקודות
the elected / the selected (m.pl.),hanivkharim,הנבחרים
waves of,galei,גלי
discover / disclose (f.s. imperative) / in a wave form,gali,גלי
[in] a policy,bimdiniyut,במדיניות
[in] the policy,bamediniyut,במדיניות
[in] the branches of / in the fields of,be'anfei,בענפי
his nature,tiv'o,טבעו
drowned (pl.),tav'u,טבעו
sound,tslil,צליל
stems from / derived from / spouts (m.s.),nove'a,נובע
correct / ready (f.pl.),nekhonot,נכונות
readiness / willingness,nekhonut,נכונות
miracle,nes,נס
slavery,avdut,עבדות
the forts,hamivtsarim,המבצרים
the reinforcement / the contingent,hatigboret,התגבורת
the steward,hadayal,הדייל
riders (horse) / cavaliers,parashim,פרשים
aero- / aerial (f.s.),avirit,אווירית
the knights,ha'abirim,האבירים
heaviness,kvedut,כבדות
heavy (f.pl.),kvedot,כבדות
guerrilla,gerila,גרילה
the hope / Hatikva (the anthem of Israel),hatikva,התקווה
left (m.s.),hish'ir,השאיר
in power,bashilton,בשלטון
under the rule of,beshilton,בשלטון
the southern (m.pl.),hadromiyim,הדרומיים
in/under an attack,bemitkafa,במתקפה
in/under the attack,bamitkafa,במתקפה
two days,yomayim,יומיים
to the north,latsafon,לצפון
to the north of,litsfon,לצפון
perfection / integrity,shlemut,שלמות
that the people of,she'anshei,שאנשי
differences,hefreshim,הפרשים
the riders (horse) / the cavaliers,haparashim,הפרשים
the economy,hakalkala,הכלכלה
the removal / the expense / the edition / the publishing house,hahotsa'a,ההוצאה
news of,besorat,בשורת
in the line of,beshurat,בשורת
to the war of,lemilkhemet,למלחמת
citizen / civil (f.s.),ezrakhit,אזרחית
were allowed [to],hurshu,הורשו
the external / the outer (f.s.),hakhitsonit,החיצונית
the order,hatsav,הצו
political (m.s.),medini,מדיני
for action / for operation,lif'ula,לפעולה
to/for the action / to/for the operation,lape'ula,לפעולה
to establish / to base,levases,לבסס
and these,ve'elu,ואלו
the leader,hamanhig,המנהיג
bridges,gsharim,גשרים
from these,me'elu,מאלו
to catch / to capture / to grasp / to seize / to perceive,litpos,לתפוס
to/for the liberation / to/for the release,lashikhrur,לשחרור
attacks / attacker (m.s.),tokef,תוקף
validity,tokef,תוקף
internal (m.s.),pnimi,פנימי
despite,kheref,חרף
as a commander / as the commander of,kimfaked,כמפקד
was spent / was taken out / was removed (m.s.),hutsa,הוצא
the economic (f.s.),hakalkalit,הכלכלית
the northern (m.pl.),hatsfoniyim,הצפוניים
the trade,hasakhar,הסחר
not / do not,bal,בל
comfortable (f.s.),nokha,נוחה
Christian (m.s.),notsri,נוצרי
took (action / step) (m.s.),nakat,נקט
numbers (v.) (m.s.) / numerator,memasper,ממספר
from the number / from a number,mimispar,ממספר
testifies,me'id,מעיד
to fit / to match / to suit,lehat'im,להתאים
supporters,tomkhim,תומכים
and between them,uveynehem,וביניהם
hot / severe (f.s.),kharifa,חריפה
the continent,hayabeshet,היבשת
stress / emphasis,dagesh,דגש
at a length of,be'orekh,באורך
were added,nosfu,נוספו
inclination / tendency / tilt,netiya,נטייה
underground,makhteret,מחתרת
to/for criticism / to/for inspection,lebikoret,לביקורת
to/for the criticism / to/for the inspection,labikoret,לביקורת
mix,ta'arovet,תערובת
burned (m.s.) / resin / angel,saraf,שרף
saying (n.),amira,אמירה
the corals of,almogei,אלמוגי
that is based / the well established / the well based (f.s.),hamevuseset,המבוססת
the commercial,hamiskhari,המסחרי
the settlements,hayeshuvim,היישובים
the blade,halahav,הלהב
was introduced / was displayed / was presented / was exhibited (f.s.),hutsga,הוצגה
the close / the relative (f.s.),hakrova,הקרובה
the giant (adj.) / the giants (n.) / the necklaces,ha'anakim,הענקים
the nation,ha'uma,האומה
the intention / the meaning,hakavana,הכוונה
guidance / direction,hakhvana,הכוונה
the leadership,hahanhaga,ההנהגה
the basic (f.s.),habsisit,הבסיסית
the management of,hanhalat,הנהלת
in the Islam,ba'islam,באסלאם
separately,benifrad,בנפרד
marksman,kala'i,קלעי
the restraint,hahavlaga,ההבלגה
mansion of / estate of / possessed by / stricken by (f.s.),akhuzat,אחוזת
combat (adj.) (f.s.),kravit,קרבית
national (f.s.),le'umit,לאומית
boxes / cases / arks,teyvot,תיבות
students of,talmidei,תלמידי
evidence / testimony,edut,עדות
whom / that the same (m.pl.),she'otam,שאותם
that one,she'ekhad,שאחד
percentage of / possessed by / stricken by (m.pl.),akhuzei,אחוזי
the unique,ha'ykhudi,הייחודי
are introduced / are displayed / are presented / are exhibited / exhibits (m.pl.),mutsagim,מוצגים
to watch / to predict,lakhazot,לחזות
the engine,hamano'a,המנוע
the argument / the dispute,haviku'akh,הוויכוח
that exists (m.s.),hakayam,הקיים
complexity,murkavut,מורכבות
complex / composed of (f.pl.),murkavot,מורכבות
fermentation / unrest,tsisa,תסיסה
his/its ties / his/its bonds / his/its links / his/its connections,ksharav,קשריו
my world / global / universal (m.s.),olami,עולמי
the god of,elohei,אלוהי
my god,elohai,אלוהי
the scout / the ranger / the observer / the spectator / that/who observes / that/who watches (m.s.),hatsofe,הצופה
the scout / the ranger / the observer / the spectator / that/who observes / that/who watches (f.s.),hatsofa,הצופה
the poll / the polling booth,hakalpi,הקלפי
biography,biyografya,ביוגרפיה
marking,simun,סימון
for research / for a study,lemekhkar,למחקר
for the research / for the study,lamekhkar,למחקר
picture of,tmunat,תמונת
was photographed,tsulam,צולם
horizons / knowledge,ofakim,אופקים
the pronunciation,hahagiya,ההגייה
we will rebel,nimrod,נמרוד
band of,lahakat,להקת
to/for criticism / to/for inspections,lebikorot,לביקורות
to/for the criticism / to/for the inspections,labikorot,לביקורות
mathematical (f.s.),matematit,מתמטית
positive (f.pl.),khiyuviyot,חיוביות
ecology,ha'ekologya,אקולוגיה
in a rotation / in a revolution,besivuv,בסיבוב
in the rotation / in the revolution,basivuv,בסיבוב
the borrowed,hasha'ul,השאול
hell,hash'ol,השאול
the fencing,hasiyuf,הסיוף
growth,gdila,גדילה
the common (m.pl.),hanefotsim,הנפוצים
the carbon,hapakhman,הפחמן
icebergs,karkhonim,קרחונים
from you (m.s.),mimkha,ממך
from you (f.s.),mimekh,ממך
thanks / confesses (m.s.),mode,מודה
thanks / confesses (f.s.),moda,מודה
I did,asiti,עשיתי
lay down (m.s.),shakhav,שכב
the supervision / Providence,hahashgakha,ההשגחה
the arrest,hama'atsar,המעצר
at a sight / at the sight of,lemar'e,למראה
at/to the sight,lamar'e,למראה
to a mirror / at her sight,lemar'a,למראה
to the mirror,lamar'a,למראה
to a forest,leya'ar,ליער
to the forest,laya'ar,ליער
that an island / that is not,she'i,שאי
what is,mahu,מהו
to worry,lid'og,לדאוג
and in general,uvikhlal,ובכלל
the kerosene / the oil,haneft,הנפט
interesting,me'anyen,מעניין
answer / reply,ma'ane,מענה
tortures / torments (m.s.),me'ane,מענה
to move,lehani'a,להניע
asked / borrowed (pl.),sha'alu,שאלו
loves (m.s.),ohev,אוהב
the time / the holiday,hamo'ed,המועד
that is prone to (m.s.),hamu'ad,המועד
tearfully,bivkhi,בבכי
fullness / to a full / full,melo,מלוא
from the residents of,mitoshvei,מתושבי
to the room,lakheder,לחדר
to/for the break of / to/for the intermission of,lehafsakat,להפסקת
and through / and via / and way / and road,vederekh,ודרך
and stepped [on] (m.s.),vedarakh,ודרך
trust,emun,אמון
training / practice,imun,אמון
foreign / stranger,zar,זר
midnight,khatsot,חצות
returned / gave back,hekhzir,החזיר
the nestlings,hagozalim,הגוזלים
that are robbing,hagozlim,הגוזלים
assumed / placed (m.s.),heni'akh,הניח
back,gav,גב
grow (m.pl.),tsomkhim,צומחים
moved away / dropped in / was removed / sullen (m.s.),sar,סר
drives / uses to (m.s.),noheg,נוהג
custom,nohag,נוהג
work / craft,melakha,מלאכה
of / belongs to,mishel,משל
proverb / allegory / example,mashal,משל
from the rest,mish'ar,משאר
its source / his/its origin (m.s.),mekoro,מקורו
its beak,makoro,מקורו
articles,ma'amarim,מאמרים
there is (m.s.),yeshno,ישנו
and saw (m.s.),vera'a,וראה
devil,shed,שד
breast,shad,שד
affair / chapter / portion,parasha,פרשה
retired (f.s.),parsha,פרשה
automatic,otomati,אוטומטי
important (f.pl.),khashuvot,חשובות
hot / severe (m.s.),kharif,חריף
was impressed / got the impression,hitrashem,התרשם
the separation,hahafrada,ההפרדה
the ideas,hara'ayonot,הרעיונות
the plant,hatsemakh,הצמח
bridging,gishur,גישור
in a brain,bemo'akh,במוח
in the brain,bamo'akh,במוח
criticism / inspections,bikorot,ביקורות
on a board,belu'akh,בלוח
on the board,balu'akh,בלוח
with a ball / in a pill,bekadur,בכדור
with the ball / in the pill,bakadur,בכדור
physician,rofe,רופא
expected / anticipated (f.s.),tsfuya,צפויה
goods / merchandise,skhorot,סחורות
leader / transporter / currier (m.s.),movil,מוביל
successful (m.s.),mutslakhat,מוצלחת
drink,mashke,משקה
will redeem (m.s.),yig'al,יגאל
to states,limdinot,למדינות
to the states,lamedinot,למדינות
to share / to let join / to let participate,leshatef,לשתף
to/for the worker,lapo'el,לפועל
into action,lafo'al,לפועל
compared with them / against them / opposite them (m.),le'umatam,לעומתם
to power / to force / to strength,leko'akh,לכוח
to the power / to the force / to the strength,lako'akh,לכוח
to join,lehitstaref,להצטרף
for discussion,lediyun,לדיון
to/for the discussion,ladiyun,לדיון
argument / dispute,viku'akh,ויכוח
and on him/it / and about him/it,ve'alav,ועליו
whole / complete (m.pl.),shlemim,שלמים
that was held / that existed / that survived (f.s.),shehitkayma,שהתקיימה
remnants / survivors,sridim,שרידים
that/who carried / who married (m.s.),shenasa,שנשא
left (pl.),azvu,עזבו
slaves,avadim,עבדים
with them (f.),itan,איתן
strong / firm,eitan,איתן
after them (m.),akharehem,אחריהם
fathers / ancestors / Avot,avot,אבות
stars of,kokhvei,כוכבי
when there was,keshehaya,כשהיה
the picture / the photo,hatmuna,התמונה
treated / referred to / applied (pl.),hityakhasu,התייחסו
was completed (f.s.),hushlema,הושלמה
the judges,hashoftim,השופטים
produced,hefik,הפיק
assessments / estimations / appreciations / credits,ha'arakhot,הערכות
the citizen / the civil (f.s.),ha'ezrakhit,האזרחית
that include (m.pl.),hakolelim,הכוללים
the building (n.),habniya,הבניה
gardens / kindergartens,ganim,גנים
genes,genim,גנים
in a letter,bemikhtav,במכתב
in the letter,bamikhtav,במכתב
at/in the university,ba'universita,באוניברסיטה
at/in a university,be'universita,באוניברסיטה
[in her] size,begodla,בגודלה
its shape / its form,tsurato,צורתו
is included [in] / was counted (m.s.),nimna,נמנה
surrendered (m.s.),nikhna,נכנע
the dispute,hamakhloket,המחלוקת
the uprooted / the displaced (m.pl.),ha'akurim,העקורים
the conflict,ha'imut,העימות
the opposition,haneged,הנגד
the resistor / the non commissioned officer,hanagad,הנגד
warrior (f.s.),lokhemet,לוחמת
crossing of,khatsiyat,חציית
the effort,hama'amats,המאמץ
the dynasty,hashoshelet,השושלת
the months,hakhodashim,החודשים
significant (m.pl.),mashma'utiyim,משמעותיים
warfare,lokhama,לוחמה
attacked (pl.),takfu,תקפו
is called (f.s.),kruya,קרויה
decisive / crucial (f.s.),makhra'at,מכרעת
to/for a camp / to/for a group,lemakhane,למחנה
to/for the camp / to/for the group,lamakhane,למחנה
to the performance of / to the execution of / to be performed,lebitsu'a,לביצוע
and women,ve'nashim,ונשים
cruise,shayit,שיט
that took out / that removed / that spent / that published (m.s.),shehotsi,שהוציא
opportunity,hizdamnut,הזדמנות
his fate,goralo,גורלו
overcame / defeated (f.s.),gavra,גברה
in the language of / on the edge of,bisfat,בשפת
at/in a meeting,bepgisha,בפגישה
at/in the meeting,bapgisha,בפגישה
obvious / evident (m.pl.),nikarim,ניכרים
judicial / statutory / forensic,mishpatit,משפטית
parallel (m.s.),makbil,מקביל
for the prevention of,lemeni'at,למניעת
armed (m.s.),khamush,חמוש
organizations,irgunim,ארגונים
intention / meaning,kavana,כוונה
that remind (m.pl.) / the secretaries (m.),hamazkirim,המזכירים
the crowd / the many,hahamonim,ההמונים
responded,hegiv,הגיב
the grain / the nucleus,hagar'in,הגרעין
demands / requires (m.s.),doresh,דורש
banks / shores,gadot,גדות
we won,nitskhunu,ניצחונו
triangle,meshulash,משולש
correction / repair,tikun,תיקון
popular (m.s.),populari,פופולרי
goat,ez,עז
legal (f.pl.),khukiyot,חוקיות
monthly,khodshi,חודשי
the months of,khodshei,חודשי
as means,ke'emtsa'i,כאמצעי
as means of,ke'emtsa'ei,כאמצעי
as a basis,kevasis,כבסיס
as the basis,kabasis,כבסיס
the studies,halimudim,הלימודים
operation of / activation of,haf'alat,הפעלת
the Pope,ha'apifyor,האפיפיור
you earned / you gained (m.s.),hirvakhta,הרווחת
you earned / you gained (f.s.),hirvakht,הרווחת
necessarily,behekhrakh,בהכרח
among the women,banashim,בנשים
among women,benashim,בנשים
technologies,tekhnologyot,טכנולוגיות
from a source / from an origin,mimakor,ממקור
mathematical (m.pl.),matematiyim,מתמטיים
happening (m.s.),mitrakhesh,מתרחש
applicant / candidate / nominee (m.s.),mu'amad,מועמד
poet,meshorer,משורר
practical (f.s.),ma'asit,מעשית
western (m.s.),ma'aravi,מערבי
eastern (m.s.),mizrakhi,מזרחי
stair of,madregat,מדרגת
from a degree of / from a level of / from a rank of,midargat,מדרגת
central (f.s.),merkazit,מרכזית
to the east,lamizrakh,למזרח
for conservation,leshimur,לשימור
to drink,lishtot,לשתות
to/for groups,lekvutsot,לקבוצות
to/for the groups,lakvutsot,לקבוצות
approximately / around / roughly / to a value,le'erekh,לערך
to/for a democracy,ledemokratya,לדמוקרטיה
to/for democracy,lademokratya,לדמוקרטיה
and is considered,venekhshav,ונחשב
and we will calculate,venekhashev,ונחשב
bills,shtarot,שטרות
that were built,shenivnu,שנבנו
tied / linked / connected (m.s.),kashur,קשור
holy,kadosh,קדוש
rite / ritual / sacramental,pulkhan,פולחן
nickname,kinui,כינוי
cutting down of / amputation of,kritat,כריתת
the space,hamerkhav,המרחב
the civilized / the cultural / the cultivated,hatarbuti,התרבותי
comparison,hashva'a,השוואה
the embassy,hashagrirut,השגרירות
the popularity,hapopulariyut,הפופולריות
the popular (f.pl.),hapopulariyot,הפופולריות
the memory,hazikaron,הזיכרון
that grows / the flora,hatsome'akh,הצומח
in most of,bemarbit,במרבית
holes / pits,borot,בורות
ignorance,burut,בורות
in the service,basherut,בשירות
in a service / in/at the service of,besherut,בשירות
the problem of,be'ayat,בעיית
records / sketches,rishumim,רישומים
separated / individual (m.pl.),nifradim,נפרדים
among the Jews of,beyehudei,ביהודי
to a stream,lenakhal,לנחל
to the stream,lanakhal,לנחל
symbols,smalim,סמלים
sergeants,samalim,סמלים
newspaper,iton,עיתון
sight / eye sight / vision / seeing,re'iya,ראייה
the document,hamismakh,המסמך
students,talmidim,תלמידים
acquisition of / purchase of,rekhishat,רכישת
the well,ha'be'er,הבאר
in/at his years,bishnotav,בשנותיו
and how,vekeytsad,וכיצד
rehabilitation / reconstruction,shikum,שיקום
tail,zanav,זנב
courses / paths / tracks,maslulim,מסלולים
and methods,veshitot,ושיטות
his retirement,prishato,פרישתו
training of / practice of,imunei,אימוני
change / exchange,khiluf,חילוף
like,keme'ein,כמעין
the wine,hayayin,היין
was influenced / was affected,hushpa,הושפע
the scouts / the rangers / the observers / the spectators / that/who observe / that/who watch (m.pl.),hatsofim,הצופים
was born (f.s.),nolda,נולדה
snake,nakhash,נחש
the works / the jobs,ha'avodot,העבודות
philosophers,filosofim,פילוסופים
he is able [to] / within his power,biykholto,ביכולתו
evolution,evolutsia,אבולוציה
the relevance / the relation / the ownership,hashayakhut,השייכות
that/who belong (f.pl.),hashayakhot,השייכות
had fun / spent time (m.s.),bila,בילה
in a show / in an exhibition,beta'arukha,בתערוכה
in the show / in the exhibition,bata'arukha,בתערוכה
the sales,hamekhirot,המכירות
mathematical (m.s.),matemati,מתמטי
the medicine,harefu'a,הרפואה
statues of / sculptures of,pislei,פסלי
sexual / sexually / you appointed (f.s.),minit,מינית
you appointed (m.s.),minita,מינית
[in] a crab / [in] cancer,besartan,בסרטן
[in] the crab / [in] the cancer,basartan,בסרטן
to/for the gods,la'elim,לאלים
to/for gods,le'elim,לאלים
to/for the violent,la'alim,לאלים
to/for a violent,le'alim,לאלים
the measurement / the measuring,hamedida,המדידה
the biological,habiyologi,הביולוגי
tissues,rekamot,רקמות
embroideries,rikmot,רקמות
the genetic (m.s.),hageneti,הגנטי
insects,kharakim,חרקים
the meal,ha'arukha,הארוחה
the cooking,habishul,הבישול
thoughts,makhshavot,מחשבות
and indeed,ve'omnam,ואמנם
and I will look,ve'abit,ואביט
stomach,keyva,קיבה
flew (m.s.),af,עף
pen,et,עט
swooped down,at,עט
with you (m.pl.),itkhem,אתכם
you (m.pl.),etkhem,אתכם
the escort,hamlave,המלוה
the creditor,hamalve,המלוה
the next day,hamokhorat,המחרת
the lead,ha'oferet,העופרת
I started,hakhiloti,החלותי
in a gallery / in a wing,beyatsi'a,ביציע
in the gallery / in the wing,bayatsi'a,ביציע
grumbled / complained (m.s.),ratan,רטן
laughed (pl.),tsakhaku,צחקו
cricket,tsratsar,צרצר
in thoughts,bemakhshavot,במחשבות
in the thoughts,bamakhshavot,במחשבות
outside,bakhuts,בחוץ
moments,rega'im,רגעים
my state / my situation,matsavi,מצבי
combat (adj.) (m.s.),kravi,קרבי
worthwhile,kedai,כדאי
it is worthwhile,keda'i,כדאי
the tickets,hakartisim,הכרטיסים
my ability / my capability,yekholti,יכולתי
I could,yakholti,יכולתי
work / suffering / worked hard,amal,עמל
worker / works hard,amel,עמל
my mother,imi,אמי
thought (pl.),khashvu,חשבו
know / recognize (m.pl.),mekirim,מכירים
advertisement / commercials,pirsomet,פרסומת
the second / the other,hashniya,השניה
the doors,hadlatot,הדלתות
my body,gufi,גופי
cub / puppy,gur,גור
in hunger,bera'av,ברעב
from above,milemala,מלמעלה
long time ago,mizman,מזמן
by itself,me'elav,מאליו
the egg,habeytsa,הביצה
the swamp,habitsa,הביצה
without,be'ein,באין
of mine,misheli,משלי
proverbs of / Book of proverbs,mishlei,משלי
prices of,mekhirei,מחירי
from these,me'ele,מאלה
covered (m.s.),mekhuse,מכוסה
to answer,la'anot,לענות
to torture / to torment,le'anot,לענות
to/for his home,leveito,לביתו
to finish,lesayem,לסיים
the close / the relatives (m.pl.),hakrovim,הקרובים
the investment,hahashka'a,ההשקעה
sale of,mekhirat,מכירת
assists / helps (m.s.),mesaye'a,מסייע
explains (m.s.),masbir,מסביר
frequently,tkhufot,תכופות
that in all,shebekhol,שבכל
suspected (m.s.) / suspicion,khashad,חשד
the food / the dishes,ha'ma'akhalim,המאכלים
the rising / the climbing / the immigrant (m.s.),ha'ole,העולה
the rising / the climbing / the immigrant (f.s.),ha'ola,העולה
protected / shielded (m.s.),memugan,ממוגן
screen / display / curtain,masakh,מסך
yak,yak,יק
his hand,yado,ידו
to/for a parliament,leparlament,לפרלמנט
to/for the parliament,laparlament,לפרלמנט
to the wind / to/for the spirit,laru'akh,לרוח
to a wind / to/for a spirit,leru'akh,לרוח
feeling / sensation,tkhusha,תחושה
lay down (f.s.),shakhva,שכבה
layer,shikhva,שכבה
that is inside,shebetokh,שבתוך
his position,emdato,עמדתו
rich (m.s.),ashir,עשיר
fairy tale / legend,agada,אגדה
the work / the craft,hamelakha,המלאכה
the way out / the origin,hamotsa,המוצא
the stages / the phases / the rungs,hashlabim,השלבים
the winds,harukhot,הרוחות
the rabbis,harabanim,הרבנים
in a field / in a yard,bemigrash,במגרש
in the field / in the yard,bamigrash,במגרש
valid / firmly / assertively,betokef,בתוקף
at the gate,basha'ar,בשער
at the gate of,besha'ar,בשער
in/with an eye,be'ayin,בעין
in/with the eye,ba'ayin,בעין
run of,ritsat,ריצת
closed (f.s.),sgura,סגורה
variables / vary / change (m.pl.),mishtanim,משתנים
estimate / value / appreciate (m.pl.),ma'arikhim,מעריכים
shelter,makhase,מחסה
to a conclusion,lemaskana,למסקנה
to the conclusion,lamaskana,למסקנה
to stand up / to wake up,lakum,לקום
to promote / to welcome,lekadem,לקדם
to cancel,levatel,לבטל
to a series of / to the series of,lesidrat,לסדרת
and during,uvemeshekh,ובמשך
and because of,ubeshel,ובשל
and ripe,ubashel,ובשל
and cooked (m.s.),vebishel,ובשל
wrapping of,atifat,עטיפת
real (f.s.),amitit,אמיתית
slow,iti,איטי
dream,khalom,חלום
investigators of / researchers of,khokrei,חוקרי
investigator / researcher / investigates / researches / inquires (m.s.),khoker,חוקר
her brother,akhiha,אחיה
percentage / possessed / stricken (m.pl.),akhuzim,אחוזים
failure,kishalon,כשלון
kosher,kasher,כשר
as an article,kikhli,ככלי
as articles / as the articles of,kikhlei,ככלי
his cadence / his tenure,kehunato,כהונתו
the notices / the ads,hamoda'ot,המודעות
the awareness,hamuda'ut,המודעות
that are aware (f.pl.),hamuda'ot,המודעות
the defender / the shield,hamagen,המגן
the exit,hayetsi'a,היציאה
the policemen,hashotrim,השוטרים
the eviction / the evacuation,hapinui,הפינוי
lost (f.s.),hifsida,הפסידה
changed / replaced (f.s.),hekhlifa,החליפה
the order / the instruction,hahora'a,ההוראה
the protruding / that/who stands out (m.s.),habolet,הבולט
the senior,habakhir,הבכיר
was reported,duvakh,דווח
report (m.s. imperative),davakh,דווח
in space,bamerkhav,במרחב
in a space / in the space of,bemerkhav,במרחב
at the bottom of,betakhtit,בתחתית
at the bottom / in the subway,batakhtit,בתחתית
at a depth of,be'omek,בעומק
deep / at the depth,ba'omek,בעומק
[in] a resistance / [in] an objection,behitnagdut,בהתנגדות
[in] the resistance / [in] the objection,bahitnagdut,בהתנגדות
[in] an expense / in a removal / in an edition / published by,behotsa'at,בהוצאת
holds the opinion / in [clear] mind,bede'a,בדעה
his books,sfarav,ספריו
escaped (pl.),nimletu,נמלטו
intended for / destined for / conferred (m.s.),no'ad,נועד
youth,ne'urim,נעורים
net (weight / wages),neto,נטו
they were inclined / they tended to / they were tilted,natu,נטו
shielded / armored / secured / iron-bound (f.pl.),meshuryanot,משוריינות
artillery,artilerya,ארטילריה
the confederation,hakonfederatsya,הקונפדרציה
the supply,ha'aspaka,האספקה
bombers / bomb (m.s.),maftsitsim,מפציצים
caesarian,keysari,קיסרי
in a navy / in an armada,betsi,בצי
in the navy / in the armada,batsi,בצי
to attack,lehatkif,להתקיף
the armed (f.s.),hamezuyenet,המזוינת
clerks / officials,pkidim,פקידים
order of,pkudat,פקודת
injured (m.pl.),ptsu'im,פצועים
his regime / his reign,mishtaro,משטרו
with powers / with forces,bekokhot,בכוחות
to be / to constitute,lehavot,להוות
that/who preceded (pl.),shekadmu,שקדמו
that/who were found / that/who were [at],shenimtse'u,שנמצאו
independent (f.pl.),atsma'iyot,עצמאיות
aristocrats / noble (m.pl.),atsilim,אצילים
passed / transferred (pl.),he'eviru,העבירו
the assumption / the discount,hahanakha,ההנחה
in villages / in colonies,bemoshavot,במושבות
in the villages / in the colonies,bamoshavot,במושבות
in/under an attack,behatkafa,בהתקפה
in/under the attack,bahatkafa,בהתקפה
millimeters,milimetrim,מילימטרים
to destroy,lehashmid,להשמיד
[in] an occupation / by occupying,bekibush,בכיבוש
[by] the occupation,bakibush,בכיבוש
rifles of,rovei,רובי
my rifle,rovi,רובי
were shot,noru,נורו
is/was guarded / is/was kept / is/was protected (m.s.),nishmar,נשמר
information / intelligence,modi'in,מודיעין
to the forces of,lekheil,לחיל
to forces / to success,lekhayil,לחיל
to decide,lehakhlit,להחליט
to score [a goal],lehavki'a,להבקיע
that/who are called (m.pl.),hakruyim,הקרויים
the worry / the fear,hakhashash,החשש
the students,hastudentim,הסטודנטים
in units / in squad,beyekhidot,ביחידות
